,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
0,ECLI:NL:OGHACMB:2020:78,cocaïne,['Curaçao'],N/A,N/A,harddrugs,undefined,{'Curaçao': ['Curaçao']},2020-12-03
1,ECLI:NL:OGHACMB:2020:78,hennep,['Curaçao'],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2020-12-03
2,ECLI:NL:OGHACMB:2020:82,cocaïne,['Curaçao'],N/A,N/A,harddrugs,undefined,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03
3,ECLI:NL:OGHACMB:2020:82,hennep,['Curaçao'],N/A,N/A,softdrugs,undefined,"{'Curaçao': ['Curaçao', 'Klein Curaçao', 'Curacao']}",2020-12-03
4,ECLI:NL:OGEAC:2018:352,hennep,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
5,ECLI:NL:OGEAC:2018:352,hashish,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
6,ECLI:NL:OGEAC:2018:353,cocaïne,[],N/A,N/A,harddrugs,undefined,{'Curaçao': ['Curaçao']},2018-06-29
7,ECLI:NL:OGHACMB:2017:257,cocaïne,[],N/A,N/A,harddrugs,undefined,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16
8,ECLI:NL:OGHACMB:2017:257,drugs,"['Aruba', 'Belgium']",1100,kilo,unspecified,kg,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba']}",2017-01-16
9,ECLI:NL:OGEAC:2018:354,hennep,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-12-19
10,ECLI:NL:OGEAC:2018:354,hashish,[],N/A,N/A,softdrugs,undefined,{'Curaçao': ['Curaçao']},2018-12-19
11,ECLI:NL:GHAMS:2018:2662,cocaïne,['Argentina'],900,gram,harddrugs,gr,{'Argentina': ['Argentinië']},2018-03-07
12,ECLI:NL:OGHACMB:2018:269,cocaïne,[],N/A,N/A,harddrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
13,ECLI:NL:OGHACMB:2018:269,hennep,[],N/A,N/A,softdrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
14,ECLI:NL:OGHACMB:2018:269,cocaine,[],N/A,N/A,harddrugs,undefined,{'Aruba': ['Aruba']},2018-05-02
15,ECLI:NL:RBAMS:2017:9087,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
16,ECLI:NL:RBAMS:2017:9085,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
17,ECLI:NL:RBAMS:2017:9086,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
18,ECLI:NL:RBAMS:2017:9088,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Spain': ['Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
19,ECLI:NL:RBAMS:2017:9089,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['Brussel', 'Antwerpen', 'België'], 'Spain': ['Spanje', 'Barcelona'], 'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'United Kingdom': ['Rusland']}",2017-08-12
20,ECLI:NL:RBAMS:2017:9090,cocaïne,"['United States', 'Netherlands']",234,milliliter,harddrugs,ml,"{'United States': ['tott'], 'Belgium': ['Brussel', 'Antwerpen', 'België'], 'Spain': ['Spanje', 'Barcelona'], 'Colombia': ['Santa Martha', 'Colombia', 'Cartagena', 'Medellin'], 'United Kingdom': ['Rusland']}",2017-08-12
21,ECLI:NL:RBAMS:2017:9091,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland'], 'France': ['Frankrijk']}",2017-08-12
22,ECLI:NL:RBAMS:2017:9092,cocaïne,"['Colombia', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Colombia': ['Colombia', 'Santa Martha', 'Cartagena', 'Medellin'], 'Spain': ['Barcelona'], 'Belgium': ['Antwerpen', 'België'], 'United Kingdom': ['Rusland']}",2017-08-12
23,ECLI:NL:OGHACMB:2018:277,cocaïne,['Jamaica'],twee,kilo,harddrugs,kg,"{'Curaçao': ['Curaçao'], 'Jamaica': ['Jamaica']}",2018-07-19
24,ECLI:NL:RBLEE:2010:BL3692,hasjiesj,"['Netherlands', 'Morocco']",10.000,kilogram,softdrugs,kg,"{'Morocco': ['Marokko'], 'Spain': ['Spanje'], 'Portugal': ['Portugal']}",2010-11-02
25,ECLI:NL:RBLEE:2010:BL3692,hennep,"['Netherlands', 'Morocco']",10.000,kilo,softdrugs,kg,"{'Morocco': ['Marokko'], 'Spain': ['Spanje'], 'Portugal': ['Portugal']}",2010-11-02
26,ECLI:NL:RBROT:2014:9162,heroïne,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
27,ECLI:NL:RBROT:2014:9162,diacetylmorfine,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
28,ECLI:NL:RBROT:2014:9162,cocaine,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
29,ECLI:NL:RBROT:2014:9162,cocaïne,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk'], 'Morocco': ['Marokko']}",2014-09-09
30,ECLI:NL:RBLEE:2010:BL3686,hash,"['Morocco', 'Netherlands']",N/A,N/A,softdrugs,undefined,"{'Morocco': ['Marokko'], 'Portugal': ['Portugal']}",2010-11-02
31,ECLI:NL:RBLEE:2010:BL3686,hasjiesj,"['Netherlands', 'Morocco']",10.000,kilogram,softdrugs,kg,"{'Morocco': ['Marokko'], 'Portugal': ['Portugal']}",2010-11-02
32,ECLI:NL:RBLEE:2010:BL3686,hennep,"['Netherlands', 'Morocco']",10.000,kilo,softdrugs,kg,"{'Morocco': ['Marokko'], 'Portugal': ['Portugal']}",2010-11-02
33,ECLI:NL:OGEAC:2019:141,cocaïne,[],182265,gram,harddrugs,gr,"{'Curaçao': ['Curaçao', 'Sint Jorisbaai'], 'Dominican Republic': ['Dominicaanse Republiek', 'Santo Domingo'], 'Venezuela': ['Venezuela'], 'United States': ['Miami'], 'Aruba': ['Aruba'], 'Belgium': ['9790']}",2019-06-06
34,ECLI:NL:OGEAC:2019:141,hennep,[],N/A,N/A,softdrugs,undefined,"{'Curaçao': ['Curaçao', 'Sint Jorisbaai'], 'Dominican Republic': ['Dominicaanse Republiek', 'Santo Domingo'], 'Venezuela': ['Venezuela'], 'United States': ['Miami'], 'Aruba': ['Aruba'], 'Belgium': ['9790']}",2019-06-06
35,ECLI:NL:OGEAC:2019:141,hashish,[],N/A,N/A,softdrugs,undefined,"{'Curaçao': ['Curaçao', 'Sint Jorisbaai'], 'Dominican Republic': ['Dominicaanse Republiek', 'Santo Domingo'], 'Venezuela': ['Venezuela'], 'United States': ['Miami'], 'Aruba': ['Aruba'], 'Belgium': ['9790']}",2019-06-06
36,ECLI:NL:GHAMS:2016:1885,cocaïne,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Suriname': ['Suriname'], 'Belgium': ['België'], 'Spain': ['Spanje'], 'Italy': ['Italië'], 'Morocco': ['Marokko']}",2016-04-05
37,ECLI:NL:GHAMS:2016:1885,hasj,"['Morocco', 'Suriname']",N/A,N/A,softdrugs,undefined,"{'Suriname': ['Suriname'], 'Belgium': ['België'], 'Spain': ['Spanje'], 'Italy': ['Italië'], 'Morocco': ['Marokko']}",2016-04-05
38,ECLI:NL:OGEAM:2016:114,marihuana,[],83,gram,softdrugs,gr,{'Sint Maarten': ['Sint Maarten']},2016-11-24
39,ECLI:NL:OGEAM:2016:114,hennep,[],83,gram,softdrugs,gr,{'Sint Maarten': ['Sint Maarten']},2016-11-24
40,ECLI:NL:OGHACMB:2011:BP7461,cocaïne,['Curaçao'],3400,gram,harddrugs,gr,"{'Aruba': ['Aruba Curaçao Sint Maarten', 'Aruba'], 'Curaçao': ['Curaçao']}",2011-03-02
41,ECLI:NL:RBROT:2021:12335,cocaïne,['Ecuador'],1.600,kilo,harddrugs,kg,"{'Ecuador': ['Ecuador'], 'China': ['China'], 'Germany': ['Duitsland']}",2021-12-14
42,ECLI:NL:RBAMS:2019:6196,drugs,[],N/A,N/A,unspecified,undefined,"{'Germany': ['Köln', 'Duitsland', 'Keulen', 'Bondsrepubliek Duitsland', 'Emmerik']}",2019-08-20
43,ECLI:NL:RBAMS:2019:6196,4-fa,[],N/A,N/A,harddrugs,undefined,"{'Germany': ['Köln', 'Duitsland', 'Keulen', 'Bondsrepubliek Duitsland', 'Emmerik']}",2019-08-20
44,ECLI:NL:RBAMS:2019:6196,fentanyl,[],N/A,N/A,harddrugs,undefined,"{'Germany': ['Köln', 'Duitsland', 'Keulen', 'Bondsrepubliek Duitsland', 'Emmerik']}",2019-08-20
45,ECLI:NL:RBMAA:2010:BM8942,amfetamine,['Germany'],10,kilo,harddrugs,kg,"{'Germany': ['Duitsland', 'Herzogenrath', 'Aken', 'Düren', 'Bonn', 'Bremen'], 'Turkey': ['Turkije'], 'Belgium': ['Rekem', 'België'], 'Spain': ['Spanje']}",2010-06-23
46,ECLI:NL:RBMAA:2010:BM8942,hennep,[],10,kilo,softdrugs,kg,"{'Germany': ['Duitsland', 'Herzogenrath', 'Aken', 'Düren', 'Bonn', 'Bremen'], 'Turkey': ['Turkije'], 'Belgium': ['Rekem', 'België'], 'Spain': ['Spanje']}",2010-06-23
47,ECLI:NL:RBMAA:2010:BM8942,wiet,['Germany'],N/A,N/A,softdrugs,undefined,"{'Germany': ['Duitsland', 'Herzogenrath', 'Aken', 'Düren', 'Bonn', 'Bremen'], 'Turkey': ['Turkije'], 'Belgium': ['Rekem', 'België'], 'Spain': ['Spanje']}",2010-06-23
48,ECLI:NL:RBMAA:2010:BM8942,xtc-pillen,[],N/A,N/A,harddrugs,undefined,"{'Germany': ['Duitsland', 'Herzogenrath', 'Aken', 'Düren', 'Bonn', 'Bremen'], 'Turkey': ['Turkije'], 'Belgium': ['Rekem', 'België'], 'Spain': ['Spanje']}",2010-06-23
49,ECLI:NL:RBMAA:2010:BM8944,amfetamine,['Germany'],10,kilo,harddrugs,kg,"{'Germany': ['Herzogenrath', 'Aken', 'Duitsland'], 'Belgium': ['België']}",2010-06-23
50,ECLI:NL:RBMAA:2010:BM8944,hennep,[],10,kilo,softdrugs,kg,"{'Germany': ['Herzogenrath', 'Aken', 'Duitsland'], 'Belgium': ['België']}",2010-06-23
51,ECLI:NL:RBMAA:2010:BM8944,wiet,['Germany'],N/A,N/A,softdrugs,undefined,"{'Germany': ['Herzogenrath', 'Aken', 'Duitsland'], 'Belgium': ['België']}",2010-06-23
52,ECLI:NL:RBMAA:2010:BM8946,amfetamine,"['Netherlands', 'Germany']",vijftig,kilo,harddrugs,kg,"{'Germany': ['Duitsland', 'Bonn', 'Düren'], 'United States': ['NJ'], 'Belgium': ['België']}",2010-06-23
53,ECLI:NL:OGHACMB:2020:319,hennep,[],N/A,N/A,softdrugs,undefined,"{'Sint Maarten': ['Sint Maarten', 'Point Blanche']}",2020-03-12
54,ECLI:NL:OGHACMB:2020:319,hashish,[],N/A,N/A,softdrugs,undefined,"{'Sint Maarten': ['Sint Maarten', 'Point Blanche']}",2020-03-12
55,ECLI:NL:GHAMS:2021:3470,drugs,['Suriname'],N/A,N/A,unspecified,undefined,"{'Suriname': ['Paramaribo', 'Suriname']}",2021-12-11
56,ECLI:NL:OGHNAA:2010:BM7471,cocaïne,['Curaçao'],N/A,N/A,harddrugs,undefined,{'Curaçao': ['Curaçao']},2010-05-20
57,ECLI:NL:RBROT:2003:AI0298,drugs,['Spain'],N/A,N/A,unspecified,undefined,{'Spain': ['Spanje']},2003-07-22
58,ECLI:NL:RBUTR:2007:BC0812,hasj,['United Kingdom'],60,kilogram,softdrugs,kg,{'United Kingdom': ['Engeland']},2007-12-21
59,ECLI:NL:RBROT:2018:6609,heroïne,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Morocco': ['Marokko'], 'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk']}",2018-05-07
60,ECLI:NL:RBROT:2018:6609,harddrugs,"['Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Morocco': ['Marokko'], 'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk']}",2018-05-07
61,ECLI:NL:RBROT:2018:6609,heroine,"['Netherlands', 'Belgium', 'France']",N/A,N/A,harddrugs,undefined,"{'Morocco': ['Marokko'], 'Belgium': ['België', 'Belgie'], 'France': ['Frankrijk']}",2018-05-07
62,ECLI:NL:OGHNAA:2010:BO0092,cocaïne,[],N/A,N/A,harddrugs,undefined,"{'United States': ['D.C.', 'D.C.] en']}",2010-09-28
63,ECLI:NL:OGHNAA:2010:BO0092,drugs,[],N/A,N/A,unspecified,undefined,"{'United States': ['D.C.', 'D.C.] en']}",2010-09-28
64,ECLI:NL:GHAMS:2018:4059,drugs,[],N/A,N/A,unspecified,undefined,{'Belgium': ['België']},2018-02-11
65,ECLI:NL:GHAMS:2013:33,cocaine,['Netherlands'],101197,gram,harddrugs,gr,"{'United Kingdom': ['Londen', 'Groot-Brittannië', 'London City'], 'Suriname': ['Paramaribo', 'Suriname']}",2013-01-17
66,ECLI:NL:GHAMS:2013:33,cocaïne,['Suriname'],2,kilogram,harddrugs,kg,"{'United Kingdom': ['Londen', 'Groot-Brittannië', 'London City'], 'Suriname': ['Paramaribo', 'Suriname']}",2013-01-17
67,ECLI:NL:GHAMS:2013:33,cocaïnetransport,['Suriname'],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Londen', 'Groot-Brittannië', 'London City'], 'Suriname': ['Paramaribo', 'Suriname']}",2013-01-17
68,ECLI:NL:RBBRE:2005:AS5645,aceton,[],N/A,N/A,precursor,undefined,"{'Germany': ['Schönfeld'], 'Belgium': ['België', 'Wuustwezel', 'Belgie']}",2005-10-02
69,ECLI:NL:RBBRE:2005:AS5645,methanol,[],N/A,N/A,precursor,undefined,"{'Germany': ['Schönfeld'], 'Belgium': ['België', 'Wuustwezel', 'Belgie']}",2005-10-02
70,ECLI:NL:RBASS:2002:AF1854,tenamfetamine,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Sweden': ['Zweden'], 'Germany': ['Duitsland', 'Düsseldorf']}",2002-12-13
71,ECLI:NL:RBASS:2002:AF1854,mdma,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Sweden': ['Zweden'], 'Germany': ['Duitsland', 'Düsseldorf']}",2002-12-13
72,ECLI:NL:RBASS:2002:AF1854,amfetamine,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Sweden': ['Zweden'], 'Germany': ['Duitsland', 'Düsseldorf']}",2002-12-13
73,ECLI:NL:RBASS:2002:AF1854,drugs,[],418,kilo,unspecified,kg,"{'Sweden': ['Zweden'], 'Germany': ['Duitsland', 'Düsseldorf']}",2002-12-13
74,ECLI:NL:GHAMS:2000:AE9770,xtc-tabletten,['Germany'],N/A,N/A,harddrugs,undefined,"{'Germany': ['Duitsland'], 'Spain': ['Spanje'], 'Portugal': ['2660'], 'Russia': ['062 034'], 'United States': ['062'], 'Australia': ['2570'], 'Iran': ['028 062']}",2000-05-01
75,ECLI:NL:GHAMS:2000:AE9770,speed,['Germany'],N/A,N/A,harddrugs,undefined,"{'Germany': ['Duitsland'], 'Spain': ['Spanje'], 'Portugal': ['2660'], 'Russia': ['062 034'], 'United States': ['062'], 'Australia': ['2570'], 'Iran': ['028 062']}",2000-05-01
76,ECLI:NL:RBROE:2012:BW3517,drugs,[],N/A,N/A,unspecified,undefined,{'Germany': ['Duitsland']},2012-04-13
77,ECLI:NL:RBROE:2012:BW3517,hennep,['Germany'],N/A,N/A,softdrugs,undefined,{'Germany': ['Duitsland']},2012-04-13
78,ECLI:NL:RBGRO:2011:BR4370,drugs,['Germany'],N/A,N/A,unspecified,undefined,"{'Germany': ['Duitsland'], 'United Kingdom': ['Kiezebrink']}",2011-05-08
79,ECLI:NL:RBAMS:2016:9038,methamfetamine,[],N/A,N/A,harddrugs,undefined,"{'Sweden': ['Zweden'], 'Germany': ['Duitsland', 'Berlijn']}",2016-12-30
80,ECLI:NL:RBSGR:2004:AR2800,cocaïne,['Germany'],N/A,N/A,harddrugs,undefined,{'Germany': ['Duitsland']},2004-09-27
81,ECLI:NL:RBSGR:2004:AR2800,drugs,['Germany'],N/A,N/A,unspecified,undefined,{'Germany': ['Duitsland']},2004-09-27
82,ECLI:NL:RBHAA:2009:BH3433,drugs,['Belgium'],N/A,N/A,unspecified,undefined,"{'Iceland': ['IJsland'], 'Dominican Republic': ['Dominicaanse republiek']}",2009-06-02
83,ECLI:NL:OGHNAA:2008:BH0939,cocaïne,['Curaçao'],305,kilogram,harddrugs,kg,"{'Sint Maarten': ['Sint Maarten'], 'Curaçao': ['Curaçao']}",2008-12-23
84,ECLI:NL:RBNNE:2017:1462,drugs,"['Netherlands', 'Ecuador', 'United Kingdom', 'United States', 'Turkey']",N/A,N/A,unspecified,undefined,"{'Ecuador': ['Ecuador', 'Machala', 'Guayaquil'], 'Turkey': ['Turkije'], 'Greece': ['Griekenland', 'Kos'], 'United Kingdom': ['Londen', 'Engeland', 'Groot-Brittannië'], 'Curaçao': ['Curaçao'], 'United States': ['New York', 'Athene', 'Amerika'], 'Panama': ['Panama']}",2017-04-18
85,ECLI:NL:RBNNE:2017:1462,heroïne,[],vier,kilo,harddrugs,kg,"{'Ecuador': ['Ecuador', 'Machala', 'Guayaquil'], 'Turkey': ['Turkije'], 'Greece': ['Griekenland', 'Kos'], 'United Kingdom': ['Londen', 'Engeland', 'Groot-Brittannië'], 'Curaçao': ['Curaçao'], 'United States': ['New York', 'Athene', 'Amerika'], 'Panama': ['Panama']}",2017-04-18
86,ECLI:NL:RBNNE:2017:1462,marihuana,['Ecuador'],N/A,N/A,softdrugs,undefined,"{'Ecuador': ['Ecuador', 'Machala', 'Guayaquil'], 'Turkey': ['Turkije'], 'Greece': ['Griekenland', 'Kos'], 'United Kingdom': ['Londen', 'Engeland', 'Groot-Brittannië'], 'Curaçao': ['Curaçao'], 'United States': ['New York', 'Athene', 'Amerika'], 'Panama': ['Panama']}",2017-04-18
87,ECLI:NL:RBNNE:2017:1462,cocaïne,['Panama'],1.5,kilo,harddrugs,kg,"{'Ecuador': ['Ecuador', 'Machala', 'Guayaquil'], 'Turkey': ['Turkije'], 'Greece': ['Griekenland', 'Kos'], 'United Kingdom': ['Londen', 'Engeland', 'Groot-Brittannië'], 'Curaçao': ['Curaçao'], 'United States': ['New York', 'Athene', 'Amerika'], 'Panama': ['Panama']}",2017-04-18
88,ECLI:NL:OGEAA:2021:367,hennep,[],N/A,N/A,softdrugs,undefined,{'Aruba': ['Aruba']},2021-07-22
89,ECLI:NL:GHSHE:2012:BW7042,amfetamine,[],30,kilogram,harddrugs,kg,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
90,ECLI:NL:GHSHE:2012:BW7042,mdma,[],150,kilogram,harddrugs,kg,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
91,ECLI:NL:GHSHE:2012:BW7042,tabletten,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
92,ECLI:NL:GHSHE:2012:BW7042,harddrugs,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
93,ECLI:NL:GHSHE:2012:BW7042,bmk,[],N/A,N/A,precursor,undefined,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
94,ECLI:NL:GHSHE:2012:BW7042,drugs,"['Germany', 'Netherlands']",N/A,N/A,unspecified,undefined,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
95,ECLI:NL:GHSHE:2012:BW7042,aceton,"['Germany', 'Netherlands']",600,liter,precursor,liter,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
96,ECLI:NL:GHSHE:2012:BW7042,methanol,[],N/A,N/A,precursor,undefined,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
97,ECLI:NL:GHSHE:2012:BW7042,speed,[],10,kilo,harddrugs,kg,"{'Belgium': ['België', 'Horendonk', 'Moerkant', 'Nederland/België', 'België/Nederland', 'Kalmthout', 'Antwerpen', 'Schoten', 'Nieuwmoer', 'Belgie'], 'Germany': ['Essen', 'Duitsland'], 'France': ['Charbonneaux', 'Pau'], 'Estonia': ['Estland'], 'Ireland': ['Ierland'], 'Norway': ['Bergen'], 'United States': ['Engelsman', 'Coca']}",2012-05-30
98,ECLI:NL:GHAMS:2011:BQ8090,cocaïne,"['Netherlands', 'Brazil', 'Finland', 'Portugal']",893930,gram,harddrugs,gr,"{'Brazil': ['Sao Paolo', 'Brazilië', 'Paulo'], 'Portugal': ['Lissabon', 'Portugal'], 'Spain': ['Spanje']}",2011-01-27
99,ECLI:NL:GHAMS:2011:BQ8090,cocaïnetransport,['Brazil'],N/A,N/A,harddrugs,undefined,"{'Brazil': ['Sao Paolo', 'Brazilië', 'Paulo'], 'Portugal': ['Lissabon', 'Portugal'], 'Spain': ['Spanje']}",2011-01-27
100,ECLI:NL:RBNHO:2020:2753,cocaïne,[],N/A,N/A,harddrugs,undefined,"{'United States': ['Gessel'], 'Norway': ['Bergen'], 'Syria': ['Syrië'], 'Germany': ['Duitsland']}",2020-10-04
101,ECLI:NL:RBNHO:2020:2753,heroïne,[],N/A,N/A,harddrugs,undefined,"{'United States': ['Gessel'], 'Norway': ['Bergen'], 'Syria': ['Syrië'], 'Germany': ['Duitsland']}",2020-10-04
102,ECLI:NL:RBNHO:2020:2753,mdma,[],N/A,N/A,harddrugs,undefined,"{'United States': ['Gessel'], 'Norway': ['Bergen'], 'Syria': ['Syrië'], 'Germany': ['Duitsland']}",2020-10-04
103,ECLI:NL:RBMAA:2011:BP1646,hennep,[],N/A,N/A,softdrugs,undefined,"{'Belgium': ['België'], 'France': ['Frankrijk']}",2011-01-21
104,ECLI:NL:RBGEL:2016:6445,mdma,"['Belgium', 'Netherlands']",N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Leuven', 'Den Berg'], 'Germany': ['Welbergen'], 'Poland': ['Polen']}",2016-01-12
105,ECLI:NL:RBGEL:2016:6445,pmk,['Belgium'],N/A,N/A,precursor,undefined,"{'Belgium': ['België', 'Leuven', 'Den Berg'], 'Germany': ['Welbergen'], 'Poland': ['Polen']}",2016-01-12
106,ECLI:NL:RBGEL:2016:6445,drugs,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['België', 'Leuven', 'Den Berg'], 'Germany': ['Welbergen'], 'Poland': ['Polen']}",2016-01-12
107,ECLI:NL:RBGEL:2016:6445,2c-b,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Leuven', 'Den Berg'], 'Germany': ['Welbergen'], 'Poland': ['Polen']}",2016-01-12
108,ECLI:NL:RBGEL:2016:6445,metamfetamine,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Belgium': ['België', 'Leuven', 'Den Berg'], 'Germany': ['Welbergen'], 'Poland': ['Polen']}",2016-01-12
109,ECLI:NL:RBGEL:2016:6497,drugs,[],N/A,N/A,unspecified,undefined,"{'Belgium': ['België', 'Leuven'], 'Germany': ['Welbergen']}",2016-01-12
110,ECLI:NL:RBGEL:2016:6496,mdma,['Netherlands'],N/A,N/A,harddrugs,undefined,"{'Italy': ['Italië'], 'Belgium': ['België', 'Leuven']}",2016-01-12
