,ecli,drug,relevant_countries,volume,volume_type,general_drug_type,general_volume_type,countries_present,verdict_date
595,ECLI:NL:RBOVE:2020:1587,drugs,[],N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk']}",2020-04-23
596,ECLI:NL:RBOVE:2020:1589,xtc-tabletten,[],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
597,ECLI:NL:RBOVE:2020:1589,drugs,[],N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
598,ECLI:NL:RBOVE:2020:1596,xtc-tabletten,[],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
599,ECLI:NL:RBOVE:2020:1596,drugs,[],N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
600,ECLI:NL:RBOVE:2020:1597,xtc-tabletten,[],N/A,N/A,harddrugs,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
601,ECLI:NL:RBOVE:2020:1597,drugs,[],N/A,N/A,unspecified,undefined,"{'United Kingdom': ['Verenigd Koninkrijk', 'Engeland'], 'Germany': ['Duitsland'], 'Australia': ['Australië'], 'United States': ['Verenigde Staten'], 'Canada': ['Canada'], 'France': ['Frankrijk'], 'Norway': ['Bergen']}",2020-04-23
602,ECLI:NL:RBOBR:2019:5938,drugs,"['Poland', 'Netherlands', 'Germany']",N/A,N/A,unspecified,undefined,"{'Poland': ['Polen'], 'Germany': ['Duitsland']}",2019-10-17
603,ECLI:NL:RBLIM:2019:4835,aceton,[],N/A,N/A,precursor,undefined,"{'Belgium': ['Luik', 'België', 'Visé', 'Tongeren', 'Balen', 'Turnhout'], 'United States': ['Wvmc', 'Riel'], 'Germany': ['Bocholt', 'Duitsland'], 'Canada': ['Peel']}",2019-05-22
604,ECLI:NL:RBLIM:2019:4835,tenamfetamine,[],N/A,N/A,harddrugs,undefined,"{'Belgium': ['Luik', 'België', 'Visé', 'Tongeren', 'Balen', 'Turnhout'], 'United States': ['Wvmc', 'Riel'], 'Germany': ['Bocholt', 'Duitsland'], 'Canada': ['Peel']}",2019-05-22
